unique_incident_id,incident_id,incident_seq,publication_date,headline,publication
180000000,1800000,00,2018-01-01,"AFP, PNP launch manhunt vs. BIFF in Maguindanao roadside bombings",Philippine News Agency
180000100,1800001,00,2018-01-01,Security officials among seven injured in successive bomb blasts in Chaman,Geo News
180000200,1800002,00,2018-01-02,Three killed in Adamawa bomb attack,Punch News Nigeria
180000300,1800003,00,2018-01-02,Official  1 district police chief killed in Taliban ambush. 13 WTHR Indianapolis. 2018-01-02. Retrieved 2018-01-03.,13 WTHR
180000400,1800004,00,2018-01-01,Gunman kills two Egyptian Christians at liquor store. The New Arab. 1 January 2018. Retrieved 1 January 2018.,The New Arab
180000501,1800005,01,2018-01-01,Multigremial of the South condemns attack in Black River and describes it as terrorist act,Biobio Chile
180000502,1800005,02,2018-01-02,"Arauco Malleco Coordinating Group Claims Responsibility for Arson Attacks on Forestry Machinery in Los Lagos, Chile - No Casualties Reported",El Dinamo
180000600,1800006,00,2018-01-02,Bloodbath in Rivers as bandits kill 14 after night service  Read more at  https //www.vanguardngr.com/2018/01/bloodbath-rivers-bandits-kill-14-night-service/,Vanguard
180000700,1800007,00,2018-01-02,New Year's Day blast kills at least 3 in Nigeria. Xinhua. 2 January 2018. Retrieved 2018-01-03.,XINHUANET
180000800,1800008,00,2018-01-03,U.S. service member from New Jersey killed in eastern Afghanistan during New Year’s Day skirmish,DAILYNEWS
180000900,1800009,00,2018-01-01,15 killed as man blows himself up at funeral in Afghanistan THE DAILY TRIBUNE KINGDOM OF BAHRAIN,The News of Bahrain
180001000,1800010,00,2018-02-01,Senior Taliban Militant in Afghanistan Killed in Airstrike - Ministry - Sputnik International,Sputnik
180001100,1800011,00,2018-01-02,Seven Arrested in Killing of 37 in Central Mali,Voice of America
180001200,1800012,00,2018-01-03,"Syrian army, Damascus comprehensive repelled attack by militants in the countryside' - Sputnik Turkey",Sputnik
180001300,1800013,00,2018-01-02,Rocket fired from Gaza hits community in southern Israel - Xinhua English.news.cn,Xinhua Net
180001400,1800014,00,,Five Al-Shabaab terrorists killed in Kenya's coast - Xinhua English.news.cn,xinhuanet.com
180001500,1800015,00,2018-01-02,"Jaysh Al-Islam fights back in East Ghouta, recaptures several areas from Syrian Army",AMN
180001600,1800016,00,2018-01-04,"Ethnic militia factions clash in eastern DR Congo, 2018-01-04, By BBC Monitoring",BBC Monitoring
180001700,1800017,00,2018-01-05,Fleeing herdsmen allegedly kill Nasarawa farmers,The Punch
180001800,1800018,00,2018-01-05,Fleeing herdsmen allegedly kill Nasarawa farmers,The Punch
180001900,1800019,00,2018-01-05,Fleeing herdsmen allegedly kill Nasarawa farmers,The Punch
180002000,1800020,00,2018-01-05,Fleeing herdsmen allegedly kill Nasarawa farmers,The Punch
180002100,1800021,00,2018-01-03,Nigeria  Herdsmen Kill 50 in Benue Communities,All Africa
180002200,1800022,00,2018-01-03,Nigeria  Herdsmen Kill 50 in Benue Communities,All Africa
180002300,1800023,00,2018-01-03,Nigeria  Herdsmen Kill 50 in Benue Communities,All Africa
180002400,1800024,00,2018-01-01,"Al-Shabab 'captures checkpoint' from Somali army, 2018-01-01, By BBC Monitoring",BBC Monitoring
180002500,1800025,00,2018-01-02,"Unknown gunmen attacked the gendarmerie in Toeni, Sourou Province",Menastream
180002600,1800026,00,2018-01-01,"Lethpora operation ends, body of third terrorist recovered",Times of India
180002700,1800027,00,2018-01-01,"Two policemen wounded in attack on Sulawesi police station, SE Asia News & Top Stories - The Straits Times",The Straits Times
180002800,1800028,00,2018-01-01,Security officials among seven injured in successive bomb blasts in Chaman,Financial Express
180002900,1800029,00,2018-01-05,Fleeing herdsmen allegedly kill Nasarawa farmers,Punch News Nigeria
180003000,1800030,00,2018-01-03,Boko Haram abducts 31 loggers in Borno - Punch Newspapers,Punch News
180003100,1800031,00,2018-01-03,12 FC men injured in suicide attack on check-post,Dawn
180003200,1800032,00,2018-01-02,3 policemen slightly wounded in Kabul mine explosion,The Khama Press
180003300,1800033,00,2018-01-02,Bihar  CRPF jawan martyred in Aurangabad. The Times of India. Retrieved 2 January 2018.,The Times of India 
180003400,1800034,00,2018-01-02,Five security officers killed in Mandera Shabaab attack,Daily Nation
180003500,1800035,00,2018-01-03,Terrorists open fire at police station in Jammu and Kashmir's Pulwama,News Nation
180003600,1800036,00,2018-01-02,A sticky bomb injures a policeman north of Anbar. January 2 2018,youm7.com
180003702,1800037,02,2018-01-05,2 NPA rebels killed in Leyte clash,SunStar Philippines
180003701,1800037,01,2018-01-04,Cafgu fighter wounded in NPA clash in Compostela Valley,Business Mirror 
180003703,1800037,03,2018-01-04,Army hits NPA’s violation of holiday ceasefire,Inquirer.Net
180003800,1800038,00,2018-01-03,ISIS ambushes large Hezbollah force in eastern Syria,AMN
180003900,1800039,00,2018-01-02,15 suicide bombers killed in security operation on Iraqi-Syrian border - Iraq News,iraqakhbar.com
180004000,1800040,00,2018-01-03,Gunmen kill official of Turkoman party in Iraq's Kirkuk - Xinhua English.news.cn,xinhua.net
180004100,1800041,00,2018-01-03,Al-Shabab extremists execute 5 alleged spies in Somalia,Fox News
180004200,1800042,00,2018-01-02,"A citizen injured, material damage caused due to shelling attacks on Harasta Suburb â€“ Syrian Arab News Agency",Syrian Arab News Agency 
180004300,1800043,00,2018-01-02,Government forces launch an offensive on the western coast and control the Wadi Zami in the province of Hayes - Al-Masdar Online,almasdaronline.com
180004400,1800044,00,2018-01-03,"Somalia airstrike kills al-Shabab terrorists, destroys vehicle bomb, US military says - CBS News",CBS
180004500,1800045,00,2018-01-02,"Three killed, several injured in clash in DR Congo, 2018-01-02, By BBC Monitoring",BBC Monitoring
180004600,1800046,00,2018-08-05,Blaze Bernstein Murder Suspect Charged With Targeting Him Because He Was Gay,Haaretz
180004700,1800047,00,2018-01-03,Syria  Dozens of gunmen killed in Harasta and the Syrian army launched a counter-attack,Juhaina News Portal
180004800,1800048,00,2018-01-03,Nigeria  Herdsmen Kill 50 in Benue Communities,All Africa
180004900,1800049,00,2018-01-03,Nigeria  Herdsmen Kill 50 in Benue Communities,All Africa
180005000,1800050,00,2018-01-06,Troops in CAR attacked twice in two days - The Portugal News,The Portugal News
180005100,1800051,00,2018-01-03,"Al-Shabaab Murders Elderly Man in Somalia, Targeting Family Ties to Military Court Chairman",
180005200,1800052,00,2018-01-02,Terrorist Attack on Check-post in Dera Bugti,Abb Takk
180005300,1800053,00,2018-01-02,Three suspected terrorists killed in Karachi operation,Samaa TV
180005400,1800054,00,2018-01-02,Bomb blast leaves two army personnel wounded in Baghdad,iraqinews.com
180005500,1800055,00,2018-01-03,Two militiamen injured in clashes with IDPs in South Darfur,Relief Web
180005600,1800056,00,2018-01-02,Grenade attack targeting Assistant Excise Commissioner’s residence,Ada Derana
180005700,1800057,00,2018-01-03,"1 civilian killed, 5 injured in Nangarhar clash",PAJHWOK
180005800,1800058,00,2018-01-03,"4 rebels, 1 ANA soldier killed in Laghman gun-battle",Pajhwok Afghan News
